Experiment,Rel_Error_A,Rel_Error_B,MSE_loss,Orth_loss_A,Orth_loss_B
A_0-B_0,1.0079745352346379,1.0146896467408069,40239.49010957851,0.45139739529825224,0.5796829950952048
Random_AB-r10-lr_1e-6_1e-6-tau_0,1.0071420406966756,1.0113417263649358,40159.5766382728,0.45052993782350154,0.5786866221292344
Random_AB-r10-lr_1e-6_1e-6-tau_20,1.0070893679059139,1.0112519456383817,40159.654359729655,0.4136745273934437,0.5349192882087034
Random_AB-r10-lr_1e-6_1e-6-tau_100,1.0069217999039346,1.0109619379201655,40159.93513228004,0.2975925695155954,0.3945231322478249
A_0-B_0_orthogonal,1.02150499561023,1.017490765196186,40186.30981531233,8.103056745109177e-32,1.5541532924420766e-31
Orthonormal_AB-r10-lr_1e-6_1e-6-tau_50,1.0199937399589039,1.0182708796249553,40104.04749197327,0.002360020475196604,0.002359980392566294
Orthonormal_AB-r10-lr_1e-6_1e-6-tau_0,1.0199902724060101,1.0182675069088514,40103.78742438513,0.002603441667177849,0.002603399921689618
Orthonormal_AB-r10-lr_1e-6_1e-6-tau_200,1.020002940306144,1.0182798433810223,40104.73285547827,0.001776180690696903,0.001776144981562915
Orthonormal_AB-r10-lr_1e-4_1e-4-tau_0,1.3234740519385702,1.3248364437424953,364.8580472292693,4293.528660738712,4282.693000720666
Orthonormal_AB-r10-lr_1e-4_1e-4-tau_200,1.383360865068933,1.3844779847216677,683.3973786128186,0.005398375463838491,0.005410598204184243
